Isim,KullaniciAdi,YorumSayisi,RetweetSayisi,BegeniSayisi,Tweet 
Cenk Sarı,@Cenksar38Sar,1,,8,Bence asgari ücret belirleme komisyonu 2324 TL  ile bir evin. Faturalarını kirasını ve manav market giderini karşılasın ona göre zam yapsın bakalım 4 kişilik bir aile ne yiyor ne içiyor nasıl çocuk okutuyor. Verilecek zam a buna göre karar verilmeli.
Hayat Çok Kısa,@cengiz312han,,,,Eyyyy TÜİK  2792  lira mı ?  Allah belanızı versin  TÜİK  ve #AsgariÜcret  TESPİT KOMİSYONUNA  ÇOOK  SELAMLAR  aldığınız maaşlar  #haramolsun #zehirzıkkımolsun  bir #kuruekmek e muhtaç olursunuz inşallah
Alaturka Online,@alaturkaonline,,,,Asgari ücret ne kadar olacak? 23 Aralık 2020 İsmail Küçükkaya ile Çalar Saat
Ali,@aliosmantrgt,,,,Asgari ücret umarım sen de mutasyona uğramışsındır.
Kadir,@cakalasma,,,,"Diyorsunuz ki ,TÜİK ,AÜTK nın bir üyesi olarak 2020 yılında temel olarak tüketilmesi gereken gıda miktarı hesabını ortaya koyuyor.Çıkan sonuca göre asgari ücret 2.507 TL. Sorunda zaten burada, ya biz matematik bilmiyoruz ya TÜİK matematik yerine siyasi iktidar hesabı kullanıyor."
İşçi Mahallesi,@iscimahallesi,,1,2,"#TÜİK asgari ücret önerisi kabul edilemez! TÜİK asgari ücret 2.339 olarak önermiş. Patronlar servetlerine servet kattılar, bize kuru ekmeği layık buluyorlar. Bu ücretlerle bir işçi ailesinin geçinmesi olanaksız. Kabul etmiyoruz!
#AsgariÜcret
#AsgariDeğilİnsancaYasam"
Artı Gerçek,@artigercek,2,4,7,"TÜİK'ten asgari ücret açıklaması: Ne asgari ücreti ne de artış oranını biz belirlemiyoruz
https://artigercek.com/haberler/tuik-ten-asgari-ucret-aciklamasi-ne-asgari-ucreti-ne-de-artis-oranini-biz-belirlemiyoruz…"
Fatih,@caglarfth,1,,3,Asgari ücret açıklandığında muhafazakarları ve onları destekleyenlerin ne tepki vereceğini merak ediyorum gerçi sonuç belli şükret bunu bulamayanlarda var hsjsjs
Fethiye hakkında,@fethiyehakkinda,,1,1,TÜİK’in önerdiği #asgariücret 2.792 TL.Bazı marketlerde şimdiden her ürüne alarm takılmaya başlandı...
Fethiye hakkında,@fethiyehakkinda,,1,1,TÜİK’in önerdiği #asgariücret 2.792 TL.Bazı marketlerde şimdiden her ürüne alarm takılmaya başlandı...
Hayat Çok Kısa,@cengiz312han,,,,Eyyyy TÜİK  2792  lira mı ?  Allah belanızı versin  TÜİK  ve #AsgariÜcret  TESPİT KOMİSYONUNA  ÇOOK  SELAMLAR  aldığınız maaşlar  #haramolsun #zehirzıkkımolsun  bir #kuruekmek e muhtaç olursunuz inşallah
Barış UYAR ,@BarUYAR17,,,4,Anlatmaya gerek foto herşey açıklıyor #asgariücret
Ziyaa Başdöndüren,@ZBasdonduren,6,4,5,"Hesapim sipam altında bol bol yorum yapın destek olun lütfen #OlmasıGereken #SkandallarPartisi #skandal #AsgariÜcret #sınavagelmiyorum #ziyaselcuk #Atamİzindeyiz #rezilrüsvayız
#rezilrüsvayız heşteki paylaşalım lütfen"
cuoco italiano ,@italiano_cuoco,,,1,Gündem değiştirmeye malzeme arıyor.. örneğin asgari ücret açıklandıktan sonra gündem malzemesi lazım
Hayat Çok Kısa,@cengiz312han,,,,Eyyyy TÜİK  2792  lira mı ?  Allah belanızı versin  TÜİK  ve #AsgariÜcret  TESPİT KOMİSYONUNA  ÇOOK  SELAMLAR  aldığınız maaşlar  #haramolsun #zehirzıkkımolsun  bir #kuruekmek e muhtaç olursunuz inşallah
Bahadır Kılıçarslan,@BahadrKlarslan1,,,,Bir teneke yağ 85 tl olan ülkede asgari ücret en az 5000 lira olmalı
Hümeyra,@MarkZckerberg2,,,1,"Asgari ücret ile yaşama ""meydan okuma"""
Hayat Çok Kısa,@cengiz312han,,,,Eyyyy TÜİK  2792  lira mı ?  Allah belanızı versin  TÜİK  ve #AsgariÜcret  TESPİT KOMİSYONUNA  ÇOOK  SELAMLAR  aldığınız maaşlar  #haramolsun #zehirzıkkımolsun  bir #kuruekmek e muhtaç olursunuz inşallah
Hayat Çok Kısa,@cengiz312han,,,,Eyyyy TÜİK  2792  lira mı ?  Allah belanızı versin  TÜİK  ve #AsgariÜcret  TESPİT KOMİSYONUNA  ÇOOK  SELAMLAR  aldığınız maaşlar  #haramolsun #zehirzıkkımolsun  bir #kuruekmek e muhtaç olursunuz inşallah
işşiz adam derneği,@Pala35410814,,,1,Asgari ücret???
Ayşa ,@aysanuurr,,1,3,"Erdoğan'ın Türk ekonomisini korumak için çok küçük bir miktar koyamaması! 
#carsamba
#asgariuecret
#UElkemizinGercekleri 
Cem uzan 
Vergi"
Hayat Çok Kısa,@cengiz312han,,,,Eyyyy TÜİK  2792  lira mı ?  Allah belanızı versin  TÜİK  ve #AsgariÜcret  TESPİT KOMİSYONUNA  ÇOOK  SELAMLAR  aldığınız maaşlar  #haramolsun #zehirzıkkımolsun  bir #kuruekmek e muhtaç olursunuz inşallah
Hayat Çok Kısa,@cengiz312han,,,,Eyyyy TÜİK  2792  lira mı ?  Allah belanızı versin  TÜİK  ve #AsgariÜcret  TESPİT KOMİSYONUNA  ÇOOK  SELAMLAR  aldığınız maaşlar  #haramolsun #zehirzıkkımolsun  bir #kuruekmek e muhtaç olursunuz inşallah
Snn ★,@sinan_k_a,,,,Sen etmedin o etmedi kim etti lan bu teklifi. Asgarî ücret 3.500 altında olmamalı fiyatlar ortada. Enflasyon ortada.
Surface Of The Shattered Things,@deadgodsofhell,,,,Bana bu saatten sonra asgari ücret bilgisi lazım.
 Öz Kristal Asansör ,@OzKristal,,,7,"Asgari ücreti bu eller belirlesin..
#asgariücret 

Tweet bu kadar 

#kuruekmek
#İsVeAs
#carsamba
#Menemen
#AsgariUEcretVergisiz3100"
Hayat Çok Kısa,@cengiz312han,,,,Eyyyy TÜİK  2792  lira mı ?  Allah belanızı versin  TÜİK  ve #AsgariÜcret  TESPİT KOMİSYONUNA  ÇOOK  SELAMLAR  aldığınız maaşlar  #haramolsun #zehirzıkkımolsun  bir #kuruekmek e muhtaç olursunuz inşallah
Hayat Çok Kısa,@cengiz312han,,,,Eyyyy TÜİK  2792  lira mı ?  Allah belanızı versin  TÜİK  ve #AsgariÜcret  TESPİT KOMİSYONUNA  ÇOOK  SELAMLAR  aldığınız maaşlar  #haramolsun #zehirzıkkımolsun  bir #kuruekmek e muhtaç olursunuz inşallah
Hayat Çok Kısa,@cengiz312han,,,,Eyyyy TÜİK  2792  lira mı ?  Allah belanızı versin  TÜİK  ve #AsgariÜcret  TESPİT KOMİSYONUNA  ÇOOK  SELAMLAR  aldığınız maaşlar  #haramolsun #zehirzıkkımolsun  bir #kuruekmek e muhtaç olursunuz inşallah
Bizim TV,@bizimtvcomtr,,,,Asgari ücret önerisi tepki çekmişti!  TÜİK'ten açıklama! Biz belirlemiyoruz... https://bizimtv.com.tr/guncel/asgari-ucret-onerisi-tepki-cekmisti-tuikten-aciklama-biz-belirlemiyoruz-13218h… @bizimtvcomtr aracılığıyla
Surface Of The Shattered Things,@deadgodsofhell,,,,Bana bu saatten sonra asgari ücret bilgisi lazım.
 Öz Kristal Asansör ,@OzKristal,,,7,"Asgari ücreti bu eller belirlesin..
#asgariücret 

Tweet bu kadar 

#kuruekmek
#İsVeAs
#carsamba
#Menemen
#AsgariUEcretVergisiz3100"
Hayat Çok Kısa,@cengiz312han,,,,Eyyyy TÜİK  2792  lira mı ?  Allah belanızı versin  TÜİK  ve #AsgariÜcret  TESPİT KOMİSYONUNA  ÇOOK  SELAMLAR  aldığınız maaşlar  #haramolsun #zehirzıkkımolsun  bir #kuruekmek e muhtaç olursunuz inşallah
Hayat Çok Kısa,@cengiz312han,,,,Eyyyy TÜİK  2792  lira mı ?  Allah belanızı versin  TÜİK  ve #AsgariÜcret  TESPİT KOMİSYONUNA  ÇOOK  SELAMLAR  aldığınız maaşlar  #haramolsun #zehirzıkkımolsun  bir #kuruekmek e muhtaç olursunuz inşallah
Hayat Çok Kısa,@cengiz312han,,,,Eyyyy TÜİK  2792  lira mı ?  Allah belanızı versin  TÜİK  ve #AsgariÜcret  TESPİT KOMİSYONUNA  ÇOOK  SELAMLAR  aldığınız maaşlar  #haramolsun #zehirzıkkımolsun  bir #kuruekmek e muhtaç olursunuz inşallah
Bizim TV,@bizimtvcomtr,,,,Asgari ücret önerisi tepki çekmişti!  TÜİK'ten açıklama! Biz belirlemiyoruz... https://bizimtv.com.tr/guncel/asgari-ucret-onerisi-tepki-cekmisti-tuikten-aciklama-biz-belirlemiyoruz-13218h… @bizimtvcomtr aracılığıyla
ATAMİZİNDEYİZ,@laiklikkk,,,,"Hep 5'li müteahhit grubu mu yiyecek kaymağı…Hadi Asgari ücretlileri de bu kapsama alalım.  Maaş öderken, “Cebimizden beş kuruş çıkmadan ücretlere zam yapıyoruz” diye neden övünmüyorsunuz? #asgariücret"
ahmet ama ziyan olan.,@bidurmk,,2,85,"kaşıkla verip kepçeyle alıyosunuz.. 
#asgariuecret"
Robin Hood,@RobinHo28317374,,,1,Vizyonunuz projeniz asgari ücret zam oranıyla ortaya çıkacak.
Omer AKINCI,@om4rrrr,,,,"Bence tabloyu 10 sene önce rafa kaldırdığı laptopta bulmuş, asgari ücret ve kalan kısmını değiştirip servis etmiş  Ya da bu arkadaş keşiş falan"
Ziyaa Başdöndüren,@ZBasdonduren,1,1,5,"Hesapim siber saldiri altina lütfen destek plin #OlmasıGereken #SkandallarPartisi #skandal #AsgariÜcret #sınavagelmiyorum #ziyaselcuk #Atamİzindeyiz #rezilrüsvayız
#rezilrüsvayız heşteki paylaşalım lütfen"
işşiz adam derneği,@Pala35410814,,1,,Asgari ücret???
Göbel Ali,@Gobel__Ali,,,3,"Tek başıma oturduğum evin elektrik, su ve doğalgaz gideri 350 TL. Bunu bir de ailenin kaldığını düşünerek asgari ücret tartışmasını yapın isterseniz"
Feti ama anasının kuzusu,@FethiEdiz,,,,2697 TL asgari ücret hayırlı olsun
KAMUŞERON BELEDİYECİ ,@TURANSEVDASITR,,2,,#Geçinemiyoruz #magduruz #khklı #Belediye işçileri 696 KHK ile kadro diye kandırıldı. Biz hâlâ kadrosuz #asgariücret li şirket işçisiyiz. @ZehraZumrutS #450binBelediyeciKadrosuz @RTErdogan @kilicdarogluk
hüseyin kırım,@hsynkrm,,,,CHP’den asgari ücret için kanun teklifi http://cmhr.yt/hIDq #Cumhuriyet #cumhuriyetgzt @cumhuriyetgzt
Manifesto,@ManifestoGazete,,3,9,"Asgari ücret tartışmalarına emek cephesinden bakış

İYİ-SEN Genel Başkanı Ali Öztutan: Patronların komisyonunun karşısına işçilerin birliği çıkartılmalı"
sakine.aydinalp,@SakineAydinalp,,,,Hayır syn vekil en az asgari ücret olmalı zaten asgari ücret asgari yaşam ücreti
seçilmiş Ercn,@mustafaercan786,,,,"Asgari ücret ne olacak  elinizi taşın altına koymayacak mısınız?  Milyonlarca işçi bunu bekliyoruz
.."
Istanbul3435,@Istanbul_1923,1,1,6,"BTP GENEL BAŞKANI @AvHuseyinBas DİYOR Kİ
SİSTEMİN DEĞİŞMESİ GEREKİYOR.
SİSTEM YANLIŞ
#varbihayalimiz #asgariücret #asgariucret10binolsun Safiye Olay TV #MasumlarApartmanı Gassama #YanındayızErolBulut  AİHM Timuçin Esen #sınavagelmiyorum Kılıçdaroğlu #BizOnaReisDedik #Korkmuyoruz"
Finans Kocaeli,@FinansKocaeli,,,1,TÜİK’ten asgari ücret açıklaması
S A D E C E O Z A N ,@ozann3438,,,,Asgari Ücret 1500 Euro Olsun ..... #BizOnaReisDedik
ATAMİZİNDEYİZ,@laiklikkk,,,,"Dünyada 150'den fazla ülkeye yardım gönderen, Suriyeliler için 45 milyar doları gözünü kırpmadan gömen, ihalelerde elini korkak alıştırmayıp milyarlarca dolar ödeyen iktidar … Nedense, iş kendi vatandaşına gelince bir anda akrep beliriyor cebinde… #asgariücret"
Finans Kocaeli,@FinansKocaeli,,,1,TÜİK’ten asgari ücret açıklaması
S A D E C E O Z A N ,@ozann3438,,,,Asgari Ücret 1500 Euro Olsun ..... #BizOnaReisDedik
ATAMİZİNDEYİZ,@laiklikkk,,,,"Dünyada 150'den fazla ülkeye yardım gönderen, Suriyeliler için 45 milyar doları gözünü kırpmadan gömen, ihalelerde elini korkak alıştırmayıp milyarlarca dolar ödeyen iktidar … Nedense, iş kendi vatandaşına gelince bir anda akrep beliriyor cebinde… #asgariücret"
Medyafaresi.com,@medyafaresi,1,2,6,TÜİK'in açıkladığı asgari ücret önerisi alay konusu oldu
KAMUŞERON BELEDİYECİ ,@TURANSEVDASITR,,2,3,#Geçinemiyoruz #magduruz #khklı #Belediye işçileri 696 KHK ile kadro diye kandırıldı. Biz hâlâ kadrosuz #asgariücret li şirket işçisiyiz. @ZehraZumrutS #450binBelediyeciKadrosuz @RTErdogan @kilicdarogluk
₮Ɽ₳฿ⱫØ₦₴₱ØⱤ YOU wɪʟʟ ɴᴇᴠᴇʀ wᴀʟᴋ ᴀʟᴏɴᴇ,@altunosm,,,3,"#ÜlkemizinGerçekleri
Asgari ücret tespit komisyonu iş başında "
Kamu İşçi haber,@kamuscihaber,,,1,#TÜİK ülke gerçeklerini yansıtmıyor... #Asgariücret #AsgariÜcretVergisiz3100TL @diskinsesi @turkiskonf @hakiskonf #EmekSömürüsüneSon
Primus Inter Pares ,@Wingard95705342,2,,3,"Bence güzel teklif CHP bu konuda samimi olduğunu yönettiği belediyelerde bunu uygulayarak göstermeli bence ve hatta asgari ücret teklifi olan tüm partiler kendi belediyelerinde teklif ettiklerini uygulamalı, pozitif etki yapar."
AlOezkrds,@OzkardesAli,,,,"Erken seçim olsa 15 bin mi olcak asgari ücret, satilik herif"
ÖmrCskn  ,@omercoskun4,,,1,Asgari ücret gibi başladım günü o derece keyifsiz..
KAMUŞERON BELEDİYECİ ,@TURANSEVDASITR,,6,7,#asgariucret #Geçinemiyoruz #magduruz #khklı #Belediye işçileri 696 KHK ile kadro diye kandırıldı. Biz hâlâ kadrosuz #asgariücret li şirket işçisiyiz. @ZehraZumrutS #450binBelediyeciKadrosuz @RTErdogan @kilicdarogluk
acavas@Barnicav1,@acavasBarnicav1,,,1,"Asgari ücret hesapları yapanlar,
Nerede bu 500 TL ye 900 TL ye kiralık evler? NEREDE? KAÇ TANE?
10 MİLYON KİŞİ ASGARİ ÜCRET İLE ÇALIŞIYOR."
Nurcan,@Nurcanbkt,1,,1,asgari ücret alıp sesini çıkarmayan itiraz etmeyene ne demeli
Akyazili....,@54cvn61,,,,Geçenlerde asgarî ücret aciklamasi yaptiniz ne oldu o iş sizden yüksek fiyat verildi
ParaBorsa.Org,@ParaBorsaOrg,,,,"CHP, “Asgari Ücret Kanun Teklifi”ni TBMM Başkanlığı’na sundu"
Ulak News,@ulaknews,,,,10 milyon çalışanı ilgilendiriyor! CHP 'Asgari Ücret Kanun Teklifi'ni TBMM Başkanlığı'na sundu... https://ulak.news/haber_10-milyon-calisani-ilgilendiriyo_internethaber_2150634.html… --- #sondakika #haber #sondakikahaber #haberler
Emek Partisi Antep,@emepantep,,,3," Asgari ücret tespit komisyonunda konuşulanların perde arkasında neler var?
 Bütçede yok sayılan,pandemide çalıştırılan işçi sınıfı ve emekçiler ne yapmalı?
Gnl Başkanımız @ErcmentAkdeniz; bu akşam, 21:00'de https://facebook.com/emekpartisi sayfamızda canlı yayında değerlendiriyor"
OSİİ,@Osmangulmzzz,,,11,"Biz Devlete yıllardır vergi veriyoruz hiç aksatmıyoruz , devlet bize ceza kesiyor , zam yapıyor , biz devlete yıllardır bakıyoruz ama devlet bize 1 ay bakamıyor yazıklar olsun böyle bi sisteme #asgariuecret"
hkncmm,@Hakaanncam,,,,"Asgari ücret tahminim :2.641,45 TL"
 tayfun,@tkmercan,,,,"Otomobil sigortası gibi, çok yakar çok çekerde fiyat yüksek.. Silindir hacmi düşükse fiyat düşer.. Asgari ücret hesaplaması..."
Burçin Şahin ,@burczesu,,,2,"Ne yapacaksınız siz gelirseniz 10.000-TL mi olacak asgari ücret,hatırlatmakta fayda var;KK bebim bldylerimde işçi çıkarılmayacak,maaş 2.200 tl olacak diyeli 2 yıl,bolca işçi cıkaralı 2 yıl,6 bin olan işçi maaşı 2 bin, hatta ödenmez olalı 2 yıl oldu"
Te. Ahmet Eren Özen ,@aerenozen,,,1,Halkla dalga geçmeyin emekçiyle dalga geçmeyin asgari ücret en az net 3 bin tl olmalı hayat o kadar pahalı ki
niyazi ateş,@hazal1,,,1,"Eriyor
#asgariuecret"
KAMUŞERON BELEDİYECİ ,@TURANSEVDASITR,,1,,#Geçinemiyoruz #magduruz #khklı #Belediye işçileri 696 KHK ile kadro diye kandırıldı. Biz hâlâ kadrosuz #asgariücret li şirket işçisiyiz. @ZehraZumrutS #450binBelediyeciKadrosuz @RTErdogan @kilicdarogluk
KAMUŞERON BELEDİYECİ ,@TURANSEVDASITR,,,,#Geçinemiyoruz #magduruz #khklı #Belediye işçileri 696 KHK ile kadro diye kandırıldı. Biz hâlâ kadrosuz #asgariücret li şirket işçisiyiz. @ZehraZumrutS #450binBelediyeciKadrosuz @RTErdogan @kilicdarogluk
gazi şahin,@gazi_iyisurucu,,,4,"#asgariücret hesaplanırken,bunu ödeyecek milyon dolar kazanan şirketlerin yanında  şu dönemde dükkanını kapatmamak için direnen esnaf ve küçük işletmelerde düşünulmeli..asgari ücretten vergi alınmamalı,yoksa yüzbinler işsiz kalacak.."
Mehmet Cem ÇILGIN,@cilginmehmetcem,,,1,7256 sayılı Kanun kapsamında yapılandırılan borçlar için ilk taksitin ödenmiş olması ve yapılandırma kapsamına girmeyen borçlar ile eksik ödenen taksit toplamının asgari ücret tutarında veya bu tutarın  altında olması durumunda  borcun bulunmadığı kabul edilecektir.
Yok Artık!,@denizliyeduyur,,,2,"#AsgariÜcret için #TÜİK'in tavsiyesi 2 bin 792 lira. TÜİK'te memurların aldığı en düşük ücret ne kadar peki?
Ülkemizde asgari ücret, işçi sınıfına değil memurlara uygulanmalı! Çünkü, ne okuduğun ve diplomanın ne olduğu değil çalışmak ve üretmek esastır. Emekçiler daha değerlidir!"
sinirlisinek,@sinirlisinek1,,6,3,"Diyanet fitreyi açıkladı; 27₺
#AsgariÜcret belirlenmiştir o zaman 

27₺ x 4 kişi x 30 gün = ₺"
Kaptanınseyirdefteri,@Lambanncini5,,,3,Ayranı olmayanların tahtıravallilerle s.... maya gittikleri ülke burası şaşırmadık !!!! %48 i asgari ücretle çalışan Halkınıza Bir ayda zoraki lütfettiğiniz Asgari ücret insani  geçim standartlarının çok altında ama .!!!
niyazi ateş,@hazal1,,,,"Asgari ücret eriyor
#carsamba"
ejderyasınabinenkovboy,@buzluviski071,,,,Asgari ücret belirlenirken 
özgür ünal Çeçen,@hisli35,,,,"Asıl onur kırıcı olan,hep ezilen hep hor görülen,hep asgari ücret ve altında alanların,bu nlara bu kadar destek çıkması."
Sosyopat,@KenanEkici,,,,Asgari ücret tespit komisyonuna 1 laf etmedi destekleriz diye. Keşke calisma ve sosyal güvenlik baskani olarak siz kalsaydiniz ne yazikki suanki bakan isverenin yaninda tamamen...
Sakarya Haber,@SakaryaHabercom,,,,TÜİK’ten asgari ücret açıklaması
betul ozturk,@dabs767,,,,"Demek ki neymiş ""kuru ekmek"" deyimi millet vekilinin degil mensubu olduğu partinin genel görüş ve politikasıymış. Asgari ücret açlık sınırının altında mi değil mi onlar oraya bakmıyor. #kuruekmek
#asgariucret
#MilletBıktı"
Ahmet,@ahmetyzgan,,,8,Burs alıyorum sevindim ama asgari ücret bu haldeyken kime neye göre bu hesablar yapılıyor ve yeteceğini bize bahş ediyorsunuz Allah'tan korkun
BBC News Türkçe,@bbcturkce,13,22,171,"CHP'den asgari ücret için yasa teklifi: 3 bin 100 lira olsun, vergi sıfırlansın https://bbc.in/2WEZbAp"
Yeni Mesaj Gazetesi,@yenimesaj,,1,8,"https://yenimesaj.com.tr/tuiki-yonetenler-bu-maasa-razi-olur-mu-H1368298.htm…
#tüik #Ekonomi #AsgariÜcret"
Can,@can34555,,,1,Asgarî ücret ne oldu fakir fukaranın durumu ne oldu
B&Ç,@caglarkoyluu,1,,1,Yani bizim milletimiz doyumsuz günde 2300 u bana verseler paşa gibi yaşarım ama halen asgarî ücret az deyip reisi eleştiriyolar
HicR@n EYT,@OnderHg0,2,12,18,"Erken seçim zorunluluktur
#asgariücret 10 bin olsa bile...
Tek sorun asgari ücret olsa keşke Ülkede..

#EmeklilikteYaşaTakılanlar"
Seçme Haberler,@HaberlerSecme,,,,TÜİK'ten asgari ücret açıklaması
Bizim TV,@bizimtvcomtr,,,,TÜİK'in 2 bin 792 liralık asgari ücret önerisine tepki! https://bizimtv.com.tr/guncel/az-cok-belli-oldu-tuikin-2-bin-792-liralik-asgari-ucret-onerisine-tepki-13192h… @bizimtvcomtr aracılığıyla
Mehmet Veysi Hamarat,@MehmetVeysiHam1,,,,"İstanbul sözleşmesi,Eyt,asgari ücret"
internethaber.com,@internethaber,,2,3,"10 milyon çalışanı ilgilendiriyor! CHP '#AsgariÜcret Kanun Teklifi'ni TBMM Başkanlığı'na sundu
https://internethaber.com/10-milyon-calisani-ilgilendiriyor-chp-asgari-ucret-kanun-teklifini-tbmm-baskanligina-sundu-2150634h.htm…"
Tufan,@nadirtufan,,,2,Ya tüik bu yüzsüzlük nedir abicim ? Sen insanların sadece hayatta kalmasını sağlayacak bir asgari ücret mi sunuyorsun ? Yaşamak denilen kavramın sadece hayatta kalmak olmadığını biz mi öğreteceğiz size ???? #tüik
MEMİŞ SARI,@disk_ege,,2,16,"DİSK'ten asgari ücret çıkışı: Çalışanlar dip dibe, görüşmeler zoom üzerinden! http://gercekizmir.com/haber/DISK-ten-asgari-ucret-cikisi-Calisanlar-dip-dibe-gorusmeler-zoom-uzerinden/89769… @gercekizmircom aracılığıyla"
Mehmet Kurağ,@Ben_Osmanliyim,,,,"Ben marketten bile et almam, fiyatı görünsün diye paylaştım. Eti kasaptan 60 TL ye alıyorum.
Bu görseli paylaşmaktaki amacım bir şeyi olduğundan yüksek göstermenin mantığını çözemedim.
Fiyatların yüksekliğinden ben de şikayetçiyim.
Asgari ücret keşke 5.000 TL olsa, ben de isterim"
AnaHaber. com,@AnaHabercom,,,,TÜİK'ten asgari ücret açıklaması geldi Asgari ücret tespit komisyonu dün 3. toplantısını gerçekleştirirken Türkiye İstatistik Kurumu'ndan ( TÜİK) Asgari ücret ağır iş kol...
